klant_id,klantnaam,segment,lengtegraad,breedtegraad,geo_id
1,Ruby Patel,Home Office,18.0685808,59.3293235,1
2,Summer Hayward,Consumer,-3.010113,53.645708,2
3,Devin Huddleston,Consumer,4.89236,44.933393,3
4,Mary Parker,Corporate,-1.890401,52.486243,4
5,Daniel Burke,Home Office,5.718034,45.142151,5
6,Fredrick Beveridge,Corporate,5.878219,43.102976,6
7,Archer Hort,Consumer,1.444209,43.604652,7
8,Evie Flockhart,Consumer,8.946256,44.4056499,8
9,Faith Greenwood,Consumer,16.3738189,48.2081743,9
10,Summer Hayward,Consumer,-1.1306544,37.9922399,10
11,Gracie Powell,Consumer,-0.5600349,51.316774,11
12,Hershel Snyder,Corporate,8.7220862,52.1941419,12
13,Julia Martell,Home Office,-1.1397592,52.6368778,13
14,Viola Watson,Consumer,-1.470085,53.381129,14
15,Julian Dobie,Consumer,4.6900929,51.8132979,15
16,Rose Heap,Consumer,11.97456,57.70887,16
17,Ella Troy,Home Office,16.3738189,48.2081743,9
18,Everett Dunbar,Corporate,8.6634007,49.9914663,17
19,Georgia Bermingham,Home Office,12.5683371,55.6760968,18
20,Christopher Goold,Corporate,-0.1844671,38.968032,19
21,John Baca,Consumer,8.459405,55.476466,20
22,Kai Leonard,Corporate,9.2256875,45.5328245,21
23,Jennifer Mattingly,Home Office,12.537202,38.0176177,22
24,Nathan Iqbal,Consumer,2.546798,48.825787,23
25,Noah Chamberlain,Consumer,8.5324708,52.0302285,24
26,Dylan Disney,Home Office,4.7005176,50.8798438,25
27,Melissa Bean,Home Office,11.102228,43.8777049,26
28,Vaughn Gibbs,Home Office,14.2403537,37.0741526,27
29,William Horton,Consumer,11.3426163,44.494887,28
30,David Harney,Corporate,7.7953337,51.4377453,29
31,Walter Coley,Consumer,2.429443,48.801148,30
32,Lori Miller,Consumer,-3.7037902,40.4167754,31
33,Hayley Baldwinson,Consumer,10.7522454,59.9138688,32
34,Joseph Locke,Corporate,-9.1393366,38.7222524,33
35,Gracie Hicks,Consumer,6.464993,43.5377269,34
36,Hollie Norris,Consumer,11.9688029,51.4969802,35
37,Kiara Allen,Consumer,10.3279036,44.801485,36
38,Ronald Everson,Corporate,13.7372621,51.0504088,37
39,Daryl Claypool,Corporate,-5.9844589,37.3890924,38
40,Caleb Kenyon,Corporate,-0.6808233,37.9847003,39
41,Winnie Moss,Consumer,2.1734035,41.3850639,40
42,Courtney Hancock,Consumer,-0.1277583,51.5073509,41
43,Brandon Preston,Consumer,4.031696,49.258329,42
44,Lara Stoate,Corporate,12.1181047,47.8571272,43
45,Max Ludwig,Home Office,17.6389267,59.8585638,44
46,Summer Hayward,Consumer,7.2619532,43.7101728,45
47,Millie Newman,Consumer,1.613334,50.725231,46
48,Larry Klaus,Corporate,6.073127,43.147764,47
49,Shelby Dunston,Consumer,11.3307574,43.318809,48
50,Erin Gill,Home Office,2.1734035,41.3850639,40
51,Piper Wilder-Neligan,Consumer,8.6821267,50.1109221,49
52,Patricia Lukes,Corporate,6.6684919,52.3670267,50
53,Lilian Macredie,Corporate,7.5885761,47.5595986,51
54,Jasmine Slater,Corporate,-3.5651646,40.4260459,52
55,Charlotte Taylor,Consumer,5.36978,43.296482,53
56,Victoria Bell,Home Office,9.7320104,52.3758916,54
57,Kayleigh Farmer,Consumer,-0.7964597,38.4765073,55
58,Tyson Ebden,Consumer,6.6166947,52.5754084,56
59,Sophie Franklin,Corporate,-5.9844589,37.3890924,38
60,Maya O'Sullivan,Corporate,1.33071,43.461574,57
61,Ronald Everson,Corporate,4.840004,47.02603,58
62,Julian Mack,Consumer,2.3522219,48.856614,59
